count,pings
0,34
1,43
2,31
3,46
4,45
5,34
6,50
7,34
8,37
9,56
10,33
11,46
12,43
13,40
14,44
15,50
16,30
17,33
18,45
19,44
20,39
21,28
22,40
23,46
24,35
25,45
26,49
27,48
28,39
29,29
30,32
31,40
32,34
33,39
34,33
35,38
36,43
37,38
38,37
39,45
40,40
41,28
42,37
43,40
44,55
45,30
46,41
47,37
48,29
49,34
50,62
51,45
52,33
53,30
54,33
55,39
56,43
57,37
58,42
59,47
60,37
61,31
62,33
63,45
64,36
65,31
66,243
67,19
68,39
69,82
70,86
71,91
72,77
73,92
74,57
75,41
76,43
77,28
78,33
79,37
80,44
81,41
82,44
83,37
84,32
85,28
86,36
87,42
88,29
89,37
90,53
91,32
92,40
93,28
94,40
95,45
96,42
97,39
98,42
99,52
100,42
101,36
102,32
103,37
